score,id
4,141761
4,96619
1,137835
1,89954
3,86786
5,147721
4,66829
4,11937
3,113356
1,123651
5,129742
4,30702
1,34242
2,86919
1,19456
5,116520
2,82565
3,82472
4,81234
2,119329
2,81073
4,41708
2,116779
4,113318
4,17326
2,135635
2,49121
5,64703
1,11750
3,13076
4,77680
1,32541
5,94382
4,23633
1,123732
4,110801
3,132632
1,84511
1,131776
3,146228
2,41967
4,106948
5,119278
4,16795
1,37823
5,34288
1,123409
2,16301
4,56855
3,47601
1,101736
2,117100
3,98458
3,9652
4,7547
5,55328
4,31890
4,93162
5,55294
2,6475
1,78908
2,64982
2,137240
2,135908
1,97705
4,43916
4,40819
4,11945
2,105524
3,15352
3,16724
5,108684
4,109160
4,129910
3,79906
3,29594
2,129111
3,106231
3,19055
5,126170
2,109088
5,31806
1,59454
4,3253
4,32968
1,63637
3,105843
1,91467
4,114909
1,109400
1,46222
3,138414
4,34412
3,78812
3,28221
4,34405
3,132629
3,69631
5,95138
1,76250
